frame,geometry,lighting
0,0.26910,0.00877
10,0.26994,0.00894
20,0.27003,0.00873
30,0.27084,0.00881
40,0.27009,0.00873
50,0.27238,0.00880
60,0.27525,0.00916
70,0.27568,0.01003
80,0.27485,0.00968
90,0.27382,0.00988
100,0.27830,0.00987
110,0.29646,0.00978
120,0.28070,0.00894
130,0.27973,0.00860
140,0.28458,0.00898
150,0.28525,0.00941
160,0.28401,0.01003
170,0.28593,0.01051
180,0.28645,0.01127
190,0.28534,0.01101
200,0.28548,0.01116
210,0.28743,0.01125
220,0.28580,0.01117
230,0.27894,0.01142
240,0.27810,0.01153
250,0.27811,0.01201
260,0.27502,0.01158
270,0.27664,0.01184
280,0.27804,0.01113
290,0.28405,0.01015
300,0.28400,0.01057
310,0.28556,0.01014
320,0.28387,0.01011
330,0.28074,0.01113
340,0.27890,0.01293
350,0.28020,0.01207
360,0.29799,0.01259
370,0.28316,0.01192
380,0.27778,0.01179
390,0.27532,0.00993
400,0.27532,0.00817
410,0.27552,0.00833
420,0.27904,0.00892
430,0.27996,0.00939
440,0.27957,0.00958
450,0.27627,0.00900
460,0.27440,0.00917
470,0.27674,0.00843
480,0.29003,0.00769
490,0.28460,0.00706
500,0.27873,0.00831
510,0.28296,0.00813
520,0.27941,0.00807
530,0.27520,0.00792
540,0.28013,0.00915
550,0.28053,0.01060
560,0.27933,0.01095
570,0.27903,0.01129
580,0.28084,0.01196
590,0.28311,0.01205
600,0.28010,0.01156
610,0.29826,0.01140
620,0.29772,0.01128
630,0.28625,0.01111
640,0.28580,0.01147
650,0.28625,0.01114
660,0.28552,0.01135
670,0.28447,0.01102
680,0.28188,0.01072
690,0.28410,0.01234
700,0.28441,0.01048
710,0.28699,0.01090
720,0.29144,0.01064
730,0.29377,0.01056
740,0.29708,0.00933
750,0.30238,0.00986
760,0.29812,0.01023
770,0.29564,0.01007
780,0.29330,0.00976
790,0.29275,0.00920
800,0.29358,0.00887
810,0.29328,0.00869
820,0.29442,0.00864
830,0.29417,0.00869
840,0.29234,0.00868
850,0.29283,0.00878
860,0.29559,0.00862
870,0.29911,0.00869
880,0.30010,0.00864
890,0.29949,0.00868
900,0.29756,0.00861
910,0.29248,0.00844
920,0.28961,0.00828
930,0.28569,0.00820
940,0.28084,0.00808
950,0.27774,0.00785
960,0.27680,0.00795
970,0.27638,0.00792
980,0.27627,0.00786
990,0.27580,0.00779
1000,0.27520,0.00768
1010,0.27415,0.00757
1020,0.27484,0.00754
1030,0.27497,0.00730
1040,0.27532,0.00722
1050,0.27634,0.00700
1060,0.27679,0.00702
1070,0.27702,0.00699
1080,0.29443,0.00690
1090,0.27742,0.00683
1100,0.27639,0.00693
1110,0.27616,0.00692
1120,0.27706,0.00687
1130,0.27658,0.00697
1140,0.27624,0.00683
1150,0.27660,0.00691
1160,0.27740,0.00684
1170,0.27771,0.00678
1180,0.27799,0.00676
1190,0.27931,0.00676
1200,0.28052,0.00676
1210,0.28169,0.00682
1220,0.28061,0.00684
1230,0.27403,0.00679
1240,0.26708,0.00679
1250,0.26396,0.00682
1260,0.26303,0.00689
1270,0.26131,0.00687
1280,0.26143,0.00692
1290,0.26172,0.00711
1300,0.26353,0.00699
1310,0.28383,0.00708
1320,0.26640,0.00691
